Year,Participation Reginon Count,Athelete Count,Event,Total Costs,Profit,Fund Loss,Host City
1896,12,380,43,0.0,0.0,0.0,Athina
1900,31,1936,90,0,0,0,Paris
1904,14,1301,95,0,0,0,St. Louis
1906,20,1733,74,0,0,0,Athina
1908,22,3101,109,0.0,0.0,0.0,London
1912,28,4040,107,0,0,0,Stockholm
1920,29,4292,158,0,0,0,Antwerpen
1924,45,5233,131,0.0,0.0,0.0,Paris
1928,46,4992,122,0.0,0.0,0.0,Amsterdam
1932,47,2969,131,0.0,0.0,0.0,Los Angeles
1936,49,6506,150,0.0,0.0,0.0,Berlin
1948,58,6405,153,0.0,0.0,0.0,London
1952,66,8270,149,0.0,0.0,0.0,Helsinki
1956,70,5127,151,0.0,0.0,0.0,Stockholm/Melbourne
1960,82,8119,150,0.0,0.0,0.0,Roma
1964,93,7702,163,282.0,0.0,0.0,Tokyo
1968,110,8588,172,0.0,0.0,0.0,Mexico City
1972,119,10304,193,1009.0,0.0,0.0,Munich
1976,90,8641,198,5100.0,0.0,3200.0,Montreal
1980,80,7191,203,6331.0,0.0,1190.0,Moskva
1984,138,9454,221,958.0,517.3,0.0,Los Angeles
1988,155,12037,237,8200.0,1000.0,0.0,Seoul
1992,167,12977,257,16200.0,8600.0,0.0,Barcelona
1996,195,13780,271,2600.0,15.4,0.0,Atlanta
2000,198,13821,300,6700.0,0.0,2900.0,Sydney
2004,199,13443,301,11500.0,0.0,14500.0,Athina
2008,201,13602,302,47000.0,190.3,0.0,Beijing
2012,202,12920,302,15300.0,91.3,0.0,London
2016,203,13688,306,12000.0,0.0,0.0,Rio de Janeiro
