Year,Sex,Sport,Athelete_count
1896,M,Athletics,106
1896,M,Cycling,41
1896,M,Fencing,15
1896,M,Gymnastics,97
1896,M,Shooting,65
1896,M,Swimming,18
1896,M,Tennis,23
1896,M,Weightlifting,10
1896,M,Wrestling,5
1900,F,Croquet,6
1900,F,Equestrianism,2
1900,F,Golf,10
1900,F,Sailing,3
1900,F,Tennis,12
1900,M,Archery,32
1900,M,Athletics,234
1900,M,Basque Pelota,2
1900,M,Cricket,24
1900,M,Croquet,13
1900,M,Cycling,92
1900,M,Equestrianism,77
1900,M,Fencing,317
1900,M,Football,35
1900,M,Golf,12
1900,M,Gymnastics,135
1900,M,Polo,21
1900,M,Rowing,133
1900,M,Rugby,47
1900,M,Sailing,277
1900,M,Shooting,221
1900,M,Swimming,131
1900,M,Tennis,35
1900,M,Tug-Of-War,12
1900,M,Water Polo,53
1904,F,Archery,16
1904,M,Archery,54
1904,M,Athletics,201
1904,M,Boxing,24
1904,M,Cycling,61
1904,M,Diving,5
1904,M,Fencing,28
1904,M,Football,36
1904,M,Golf,105
1904,M,Gymnastics,458
1904,M,Lacrosse,36
1904,M,Roque,4
1904,M,Rowing,46
1904,M,Swimming,64
1904,M,Tennis,57
1904,M,Tug-Of-War,30
1904,M,Water Polo,21
1904,M,Weightlifting,7
1904,M,Wrestling,48
1906,F,Tennis,11
1906,M,Athletics,470
1906,M,Cycling,138
1906,M,Diving,24
1906,M,Fencing,161
1906,M,Football,45
1906,M,Gymnastics,156
1906,M,Rowing,200
1906,M,Shooting,320
1906,M,Swimming,78
1906,M,Tennis,37
1906,M,Tug-Of-War,32
1906,M,Weightlifting,22
1906,M,Wrestling,39
1908,F,Archery,25
1908,F,Figure Skating,8
1908,F,Motorboating,1
1908,F,Sailing,1
1908,F,Tennis,12
1908,M,Archery,52
1908,M,Athletics,778
1908,M,Boxing,42
1908,M,Cycling,269
1908,M,Diving,47
1908,M,Fencing,240
1908,M,Figure Skating,15
1908,M,Football,72
1908,M,Gymnastics,349
1908,M,Hockey,68
1908,M,Jeu De Paume,11
1908,M,Lacrosse,24
1908,M,Motorboating,16
1908,M,Polo,12
1908,M,Racquets,12
1908,M,Rowing,87
1908,M,Rugby,30
1908,M,Sailing,63
1908,M,Shooting,444
1908,M,Swimming,150
1908,M,Tennis,72
1908,M,Tug-Of-War,40
1908,M,Water Polo,28
1908,M,Wrestling,133
1912,F,Diving,14
1912,F,Swimming,43
1912,F,Tennis,30
1912,M,Art Competitions,33
1912,M,Athletics,962
1912,M,Cycling,242
1912,M,Diving,72
1912,M,Equestrianism,128
1912,M,Fencing,379
1912,M,Football,163
1912,M,Gymnastics,310
1912,M,Modern Pentathlon,32
